name
Kang-ho Song
Gunnar Björnstrand
Franca Marzi
Humphrey Bogart
Emilio Echevarría
Laura Dern
Carrie Fisher
Hilary Swank
Karisma Kapoor
Ethan Hawke
Laura Linney
Hisako Kyôda
Chris Sarandon
Henry Fonda
Carl Weathers
Janet Leigh
Daniel Radcliffe
Diane Keaton
Paul Meurisse
Holmes Osborne
Bradley Whitford
Julia Stiles
John Goodman
Leonardo DiCaprio
Linda Hamilton
Frank Morgan
Claudia Cardinale
Jon Seda
Bill Murray
Marisa Berenson
Hubert Koundé
Richard Dreyfuss
Fredric March
Anthony Chau-Sang Wong
Idris Elba
Nawazuddin Siddiqui
John Cazale
Jean Martin
Irene Papas
Emma Stone
Johnny Depp
Jesse Corti
Joan Crawford
Leo G. Carroll
Roe-ha Kim
Tim Robbins
Marlon Brando
Lee J. Cobb
Heath Ledger
Robert De Niro
Laura Lovelace
Noel Appleby
Sala Baker
Harrison Ford
Sally Field
Meat Loaf
Sala Baker
Eli Wallach
Toshirô Mifune
Keanu Reeves
Kevin Spacey
Lawrence A. Bonney
Nicoletta Braschi
Mark Hamill
Leandro Firmino
Jean Reno
Kevin Pollak
Tom Hanks
Rumi Hiiragi
Edward Norton
Henry Fonda
Mackenzie Foy
Ingrid Bergman
Michael Clarke Duncan
François Cluzet
Paulette Goddard
Paul Freeman
Thelma Ritter
Emilia Fox
Harry Myers
Lea Thompson
Mark Wahlberg
Linda Hamilton
Michael Caine
Martin Sheen
Jonathan Taylor Thomas
Peter Sellers
Jack Oakie
Isa Danieli
Ulrich Mühe
Scatman Crothers
Kirk Douglas
Kerry Washington
Tsutomu Tatsumi
Joseph Gordon-Levitt
Thora Birch
John DiMaggio
Paul Reiser
Joe Pesci
Marlene Dietrich
Jürgen Prochnow
Joseph Cotten
James Mason
Ryan Gosling
Michael Madsen
Harrison Ford
Jennifer Connelly
Gino Ardito
Jack Hawkins
Jim Carrey
Fred MacMurray
John Megna
Tim Allen
Keir Dullea
Robert Redford
Gene Kelly
Lamberto Maggiorani
Tim Allen
Edna Purviance
Eli Roth
Patrick Magee
Madhavan
John Cleese
Lee Van Cleef
Kevin Spacey
Ray Walston
Robin Williams
Yoshiko Kashiwa
Sareh Bayat
Harrison Ford
Celeste Holm
Liam Neeson
Joe Pesci
Paul Gleason
Marilyn Monroe
Tim Holt
Orson Welles
Mohammad Amir Naji
Robert De Niro
Richard Attenborough
Levi Miller
Phyllis Smith
Noriko Hidaka
Nikolay Grinko
Mack Swain
Shin'ichi Himori
Ricardo Darín
Sessue Hayakawa
Sean Bridgers
Marlon Brando
James Stewart
Max von Sydow
Rutger Hauer
Jason Statham
Richard Widmark
Ingrid Thulin
Stephen Fry
Jennifer Connelly
John Gielgud
Milo Gibson
Margot Robbie
Jim Farley
Ugur Yücel
Christopher Carley
Jimmy Shergill
Ray Milland
John Savage
Julianne Moore
Sharman Joshi
Thomas Mitchell
Maria Falconetti
Haruko Sugimura
Olivia Williams
Ellen DeGeneres
T.K. Carter
Tommy Lee Jones
Lou Antonio
Gerard Butler
Uma Thurman
Martin Stringer
Philip Seymour Hoffman
Marcia Gay Harden
Olga Mironova
Rosamund Pike
John Cleese
Roscoe Karns
Hakeem Kae-Kazim
Sanjay Dutt
Mark Ruffalo
Peter van Eyck
River Phoenix
Emma Thompson
Daniel Brühl
Guy Decomble
Hema Malini
Nicholas Hoult
Dickie Gravois
Mathieu Amalric
Sunil Shetty
Robert Redford
Liv Ullmann
François Périer
Mary Astor
Gael García Bernal
Richard Attenborough
J.J. Abrams
Jay Baruchel
Raveena Tandon
Hanno Pöschl
Natascha McElhone
Mahito Tsujimura
Christopher Guest
Jane Darwell
Sylvester Stallone
Joseph Calleia
Michael Gambon
Tony Roberts
Simone Signoret
Jake Gyllenhaal
Catherine Keener
Matt Damon
Mary Gibbs
Martin Sheen
Michael Biehn
Judy Garland
Marcello Mastroianni
Joseph Melito
Chris Elliott
Patrick Magee
Saïd Taghmaoui
Robert Shaw
Myrna Loy
Eric Tsang
Jason Bateman
Richa Chadha
Penelope Allen
Samia Kerbash
Johnny Sekka
Octavia Spencer
Keira Knightley
Rex Everhart
Victor Buono
Robert Walker
Al Pacino
Arnold Schwarznegger
Richard S. Castellano
Aaron Eckhart
Michael Caine
Hale Berry
Angelina Jolie
Sandra Bullock
Julia Roberts
Jennifer Lopez
Charles Vanel
V�ra Clouzot
